place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Ho Chi Minh Monument,Monuments & Statues,NA,3.0,,"Address1 Empress Place Empress Place Building Asian Civilisations Museum Green, Singapore 179555 Singapore",Neighborhood: City Hall,< 1 hour,NA
Fort Canning Flagstaff,Points of Interest & Landmarks,NA,3.0,,"Address70 River Valley Road Fort Canning Park, Singapore 179037 Singapore",Neighborhood: Museum,< 1 hour,NA
Cosmetics & Perfumes by Shilla,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
W!ld Rice,Theaters,NA,4.0,,"Address3A Kerbau Road, Singapore 219142 Singapore",Neighborhood: Little India,NA,NA
Tao Tian Keng Temple,Religious Sites,NA,3.0,,"Address2 Jurong West Street 76, Singapore 648370 Singapore",Neighborhood: Jurong West,NA,NA
Indian Garden,Gardens,NA,2.5,,"AddressGarden by the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Kampong Ubi Community Centre,Convention Centers,NA,3.0,,"Address10 Jalan Ubi Kampong Ubi Community Centre, Singapore 409075 Singapore",Neighborhood: Geylang East,NA,NA
Visual Art Trails - Orchard,Historic Walking Areas,NA,3.0,,NA,NA,NA,NA
Tiffany & Co.,Airport Shops,NA,2.0,,NA,Neighborhood: Changi,NA,NA
Complex Simplicity,Points of Interest & Landmarks,NA,3.0,,"Address10 Collyer Quay Ocean Financial Centre, Singapore 049315 Singapore",Neighborhood: Central Area/City Area,< 1 hour,12:00 AM - 11:59 PM
Tiong Bahru,Neighborhoods,NA,3.0,,NA,NA,NA,NA
Rising Moon Sculpture,Points of Interest & Landmarks,NA,3.0,,"AddressEsplanade Park, Singapore 038981 Singapore",Neighborhood: Marina Centre,< 1 hour,12:00 AM - 11:59 PM
DFS Watches,Airport Shops,NA,3.0,,NA,Neighborhood: Changi,NA,NA
Visual Art Trails - Marina Bay,Historic Walking Areas,NA,3.0,,NA,NA,NA,NA
Leisure Park Kallang,Shopping Malls,NA,3.0,,"Address5 Stadium Walk Leisure Park Kallang, Singapore 397693 Singapore",Neighborhood: Tanjong Rhu,NA,NA
The To-Gather Bench,Points of Interest & Landmarks,NA,3.0,,"AddressMarina Bay Waterfront Promenade, Singapore 018956 Singapore",Neighborhood: Marina Bay,< 1 hour,12:00 AM - 11:59 PM
Mas Golden Lounge,Airport Lounges,NA,3.0,,NA,Neighborhood: Changi,NA,NA
LeSportsac,Airport Shops,NA,1.0,,NA,Neighborhood: Changi,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Let's Go Cook Singapore,Lessons & Workshops • Cooking Classes,NA,5.0,"cooking experience,cooking class,hainanese chicken rice,walking tour,cooking session,cooking studio,learned how,food culture,tour guide,goh,heritage,hokkien,instructions,participants,knowledge,lesson,stories,photos","AddressBlock 462 Crawford Lane Unit 01-57, Singapore 190462 Singapore",Neighborhood: Crawford,2-3 hours,NA
Aramsa ~ The Garden Spa,Spas,NA,4.5,"relaxing massage,spa session,bali getaway,amazing massage,great spa experience,massage techniques,body scrub,foot bath,counter staff,massage experience,nice environment,ginger tea,awesome experience,eileen,therapist,recharge,massaging,aches,therapy,respite,knots,greenery,escape,sg","Address1384 Ang Mo Kio Avenue 1 Bishan Park II, Singapore 569932 Singapore",Neighborhood: Bishan,2-3 hours,10:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Flight Experience,Game & Entertainment Centers,NA,5.0,"co pilot,kai tak,hong kong airport,hour session,great fun,cockpit,simulator,instructor,realistic,bhutan,graphic","Address30 Raffles Avenue #02-06 Singapore Flyer, Singapore 039803 Singapore",Neighborhood: Marina Centre,< 1 hour,3:00 PM - 9:00 PM
Food Playground,Cooking Classes,NA,5.0,"cooking class,learn how,team building event,team bonding,chicken pie,classes,instructor,culture,fun,participants,cuisine,techniques","Address24A Sago Street, Singapore 059020 Singapore",Neighborhood: Outram,2-3 hours,9:30 AM - 12:30 PM
Lockdown Escape,Escape Games,NA,4.5,"fun experience,harry potter,interesting puzzles,secret door,solving puzzles,team bonding,great fun,a lot of fun,hints,challenging,bears,brain,dreamworld,challenges,teamwork,mysteries,props,storyline,sg,pax,technology,activity,beginners,instructions,thrilling,lockers,skills,concept,session","Address277 Orchard Road Orchard Gateway #02-02, Orchard Gateway, Singapore 238858 Singapore",Neighborhood: Somerset,< 1 hour,NA
Xcape Singapore,Escape Games,NA,5.0,"escape room,tomb raider,game master,kung fu panda,escape game,home sweet home,difficulty level,thrill factor,great game,sound effects,out of the box,team bonding,story line,fun experience,super fun,lots of fun,annabelle,morgue,puzzles,props,hints,teamwork,thrilling,xscape,mission,storyline,scares,shutters,npc,brain","Address160A Rochor Road Bugis Village, Singapore 188435 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Trapped Escape Room Singapore,Escape Games • Game & Entertainment Centers,NA,5.0,"fun experience,game master,ward room,super fun,great game,team bonding,amazing experience,clues,mental,challenging,army,scary,hints,props,suf,brain,thrilling,challenges,palau,instructions,guiding,activity","Address2 Orchard Link Scape 02 21 Unit 20 22, Singapore 237978 Singapore",Neighborhood: Somerset,NA,11:00 AM - 10:00 PM
Natureland Liat Towers,Spas,NA,5.0,"great massage,body massage,foot reflexology,shake shack,ginger tea,clean environment,beautiful ambience,pressure points,professional massage,counter staff,wheelock place,orchard area,massage experience,awesome experience,high end,therapist,therapy,branch,tiredness,skillful,knots,session,chijmes,sg,shopping","Address541 Orchard Road Liat Towers #02-01 & #03-01 Liat Towers, Singapore 238881 Singapore",Neighborhood: Boulevard,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Commune Kitchen - Cooking Classes,Lessons & Workshops • Cooking Classes,NA,5.0,"dumplings,dumpling class,xiao long bao,great teacher,learn how,making class,sri lankan cooking class,learning how,sri lankan curry,fun class,learned how,clear instructions,great activity,xiaolongbao,fun experience,lots of fun,payal,taught,paos,paypal,lesson,prata,recreated,instructor,workshop,art,cuisine,session","Address6A Shenton Way #03-02/03, OUE Social Kitchen, Downtown Gallery, Singapore 068815 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Mohan's Custom Tailors,Speciality & Gift Shops,NA,5.0,"great tailor,far east plaza,fit perfectly,purchased suits,tailored suit,quality tailoring,business shirts,final fitting,final product,met max,suits shirts,high quality fabrics,whole process,measurements,jacket,material,workmanship,wool,shop,stitching,clothing,expert,collection,sg","Address14 Scotts Road Far East Plaza #02-73, Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,NA,9:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Natureland Holland Village,Spas,NA,5.0,"ginger tea,foot massage,great massage,full body massage,clean environment,relaxing ambience,massage therapist,sore spots,stiff neck,counter staff,therapy,tension,hv,knots,90mins,skilled,branch,session,parts","Address29/29A Lorong Liput, Singapore 277740 Singapore",Neighborhood: Holland Village,1-2 hours,9:00 AM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
East Inspirations,Speciality & Gift Shops • Antique Shops,NA,5.0,"treasure trove,beautiful items,lovely shop,tea session,tea appreciation,tea tasting,interesting pieces,interesting place,cheong,gifts,symbolism,ceramics,art,culture","Address256 South Bridge Road 256 South Bridge Road, Singapore 058805 Singapore",Neighborhood: Outram,< 1 hour,11:00 AM - 6:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Natureland Marina Bay Sands,Spas,NA,5.0,"body massage,ginger tea,great massage,nice ambience,foot reflexology,professional therapist,pressure points,counter staff,amazing experience,marina bay sands,mbs,branch,skills,massuer,promo,massaging,skilled,session","Address2 Bayfront Avenue #B1-149/150 The Shoppes At Marina Bay Sands, Singapore 018972 Singapore",Neighborhood: Marina Bay,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
"WOOBAR, W Singapore - Sentosa Cove",Bars & Clubs,NA,5.0,"w hotel,woo bar,great place to chill,amazing experience,sentosa,abbey,cage,promotion","Address21 Ocean Way W Singapore Sentosa Cove Hotel W Singapore - Sentosa Cove, Singapore 098374 Singapore",Neighborhood: Sentosa Island,2-3 hours,1:00 PM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Ikeda Spa,Spas,NA,5.0,"deep tissue massage,onsen bath,relaxing massage,onsen experience,facial treatment,japanese spa,bukit timah,great onsen,professional massage,excellent massage,clean environment,nice ambience,amazing experience,therapist,session,knots,tension,geisha,shiatsu,skilled,90mins,trial,therapy,techniques,skills,sg,escape","Address787 Bukit Timah Road, Singapore 269762 Singapore",Neighborhood: Bukit Timah,1-2 hours,1:30 PM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Wellaholic (Kovan),Spas,NA,5.0,"hair removal,whole process,therapist,session,ipl,underarm,branch,beauty","Address207 5th St. Hougang Street 21, Singapore 530208 Singapore",Neighborhood: Lorong Ah Soo,< 1 hour,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Comedy Masala,Comedy Clubs,NA,5.0,,"Address69 Circular Road, Singapore 049423 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
BullionStar,Speciality & Gift Shops,NA,5.0,"precious metals,buy gold,wide range of products,gold bar,silver coins,convenient place,fuss free,counter staff,shopping experience,purchase,collection,showroom,physical,purchasing,trustworthy,collectibles,shipping,sg,user,platform","Address45 New Bridge Road Overseas Union Bank, Singapore 059398 Singapore",Neighborhood: Central Area/City Area,< 1 hour,11:00 AM - 7:00 PM
Natureland Chijmes,Spas,NA,5.0,"body massage,ginger tea,relaxing massage,excellent massage,full body,great ambience,foot reflexology,massage experience,clean ambience,awesome experience,therapy,therapist,90mins,knots,techniques,tension,skillful,whatsapp,backache,session,knead,branch,promotion","Address30 Victoria Street Chijmes #b1-01/02, Singapore 187996 Singapore",Neighborhood: City Hall,1-2 hours,9:00 AM - 10:30 PM
Origin Bar,Bars & Clubs,NA,5.0,"great company,adonis,ting,qing,shang","Address22 Orange Grove Road Shangri-La Hotel Tower Wing, Lobby Level, Singapore 258350 Singapore",Neighborhood: Tanglin,2-3 hours,5:00 PM - 10:30 PM
Wellaholic Tai Seng,Spas,NA,5.0,"hair removal,fuss free,explained everything,cozy environment,session,therapist,underarm,ipl,heat","Address1 Irving Place #07-04 the Commerze@Irving, Singapore 369546 Singapore",Neighborhood: Joo Seng,1-2 hours,11:00 AM - 10:00 PM
Natureland Robertson Walk,Spas,NA,4.5,"body massage,ginger tea,great massage,counter staff,foot reflex,full body,sports massage,great ambience,massage experience,amazing experience,therapist,therapy,aches,skills,branch,skillful,session,knots,techniques,sg","Address11 Unity Street Robertson Walk Floor 01 Unit 09 08 Robertson Walk, Singapore 237995 Singapore",Neighborhood: Robertson Quay,1-2 hours,9:00 AM - 10:30 PM
Natureland Spa,Spas,NA,5.0,"ginger tea,body massage,great massage,foot reflexology,massage experience,professional massage,holland village,great ambience,orchard road,masseuse,therapy,skilled,strokes,aches,session,knots,branch","Address160 Orchard Road Og Orchard Point No. B1-12/13, Singapore 238842 Singapore",Neighborhood: Somerset,1-2 hours,9:00 AM - 4:00 AM
Cookery Magic,Lessons & Workshops • Cooking Classes,NA,5.0,"learn how,chicken pie","Address117 Fidelio Street Opera Estate, Singapore 458492 Singapore",Neighborhood: Bedok,2-3 hours,11:00 AM - 9:00 PM
Avenue Link Transport Group,Taxis & Shuttles,NA,5.0,,NA,NA,NA,NA
Hell's Museum,Speciality Museums,NA,5.0,"haw par villa,guided tour,great tour,an eye opening experience,interesting place,worth a visit,religious,death,court,beliefs,lim,knowledge,topic,information,taoist,overview,perspective,volunteers,sculptures,visitors","Address262 Pasir Panjang Road Haw Par Villa, Singapore 118628 Singapore",NA,1-2 hours,10:00 AM - 6:00 PM
Amazing Chambers Singapura,Escape Games,NA,5.0,"sisters island,escape room,fun experience,naval battle,brain power,super fun,malay culture,difficulty level,solving puzzles,escape game,mind boggling,game master,singapore history,swee,challenging,hints,utama,changi,fara,invaders,nila,briefing,storyline,legend,heritage,maze,technology,sg,stories,activity","Address73 Sultan Gate, Singapore 198497 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 8:00 PM
Wellaholic (Orchard Outlet),Spas,NA,5.0,"hair removal,fuss free,whole process,explained everything,underarm,session,therapist,ipl,facial,branch,cooling","Address545 Orchard Road Far East Shopping Centre #04-11C Far East Shopping Centre, Singapore 238882 Singapore",Neighborhood: Boulevard,< 1 hour,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Natureland,Spas,NA,5.0,"east coast,body massage,great massage,ginger tea,professional massage,massage experience,friendly counter staff,foot reflex,nice ambience,clean environment,therapist,therapy,veron,session,knots,tong,skilled,branch,boon,therapeutic,promotion","Address907 East Coast Road Springvale #01-04/05 Springvale, Singapore 459107 Singapore",Neighborhood: Bedok,1-2 hours,9:00 AM - 10:30 PM
Perfume Workshop Singapore,Speciality & Gift Shops • Lessons & Workshops,NA,5.0,"signature scent,essential oils,team building,an amazing experience,instructor,activity,engravings,virtual,souvenir","Address90 good man road, BlockO 01-57 Good Man Art Center, Singapore 439053 Singapore",Neighborhood: Marine Parade,1-2 hours,10:00 AM - 8:00 PM
Sandbox VR,Game & Entertainment Centers,NA,5.0,"davy jones,team bonding,immersive experience,super fun,game experience,awesome experience,fun activity,lots of fun,team building,mansion,zombie,realistic,gamers,graphic,gear,shooting,mission,virtual,session,instructions,puzzles","Address181 Orchard Road Orchard Central #05-31, Singapore 238896 Singapore",Neighborhood: Somerset,1-2 hours,11:30 AM - 10:15 PM
Drama Box,Theaters • Theatre & Performances,NA,5.0,,"Address14A Trengganu Street, Singapore 058468 Singapore",Neighborhood: Outram,2-3 hours,10:00 AM - 6:00 PM
Little Green Kitchen,Lessons & Workshops • Cooking Classes,NA,5.0,"cooking class,cooking tips,vegetarian cooking,great class,great teacher,cooking session,small group,classes,techniques,taught,instructions,novice,veganism,participants,knowledge,instructor,importance,cuisine","Address1 Hacienda Grove #03-05 the Hacienda Upper East Coast Road, Singapore 457908 Singapore",Neighborhood: Bedok,2-3 hours,NA
Wellaholic (Lavender),Spas,NA,5.0,"hair removal,teeth whitening,comfortable environment,entire process,great ambience,amazing experience,underarm,session,therapist,growth,laser","Address16M Penhas Road Level 2 5 minutes by foot from Lavender MRT Station, Singapore 208180 Singapore",Neighborhood: Lavender,< 1 hour,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Changi Experience Studio,Game & Entertainment Centers,from $16.14,5.0,"interactive games,high tech,children and adults,lots of fun,interactive experience,fun filled day,fun learning,awesome experience,all ages,technology,history,bonding,arena,race,video,sensory,outing,gifts,immersive,information,garden","Address78 Airport Boulevard Road L4, Jewel Changi Airport, Singapore 819666 Singapore",Neighborhood: Changi,1-2 hours,11:00 AM - 8:00 PM
Tea Chapter,Speciality & Gift Shops,NA,5.0,"chinese tea,tea appreciation,queen elizabeth ii,neil road,tea ware,valuable experience,interesting experience,steak eggs,dim sum,cassia,master,demonstration,art,shop,oolong,breather,knowledge,session","Address9 Neil Road, Singapore 088808 Singapore",Neighborhood: Outram,1-2 hours,11:00 AM - 9:00 PM
Virtual Room: Virtual Reality Singapore,Game & Entertainment Centers,NA,5.0,"gaming experience,fun experience,super fun,a lot of fun,game master,mission,vr,puzzles,bonding,storyline,objects,activity,session","Address211 New Bridge Road Floor 3 Lucky Chinatown, Singapore 059432 Singapore",Neighborhood: Outram,1-2 hours,10:00 AM - 10:00 PM
The Thai Spa,Health Clubs • Spas,NA,5.0,"great massage,swedish massage,body scrub,massage experience,professional spa,decorated with rose petals,pleasant receptionist,massage bed,spa session,foot massage,unforgettable experience,therapist,skills,knots,ailments,aches,skilled,whatsapp,techniques,reminder,therapeutic,sg,mall","Address3 Temasek Boulevard Suntec City Mall Suntec City Mall, North Wing, Level 3, Unit 324, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Sense De Belle,Spas,NA,5.0,"waxing,facial,session,therapist","Address14 Scotts Road Far East Plaza #02-02 Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,2-3 hours,11:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Black Crow Taxidermy & Art,Art Galleries • Mysterious Sites • Lessons & Workshops,NA,5.0,"super fun,amazing experience,fun experience,workshop,butterfly,butterflies,dome,activity,session,teaching,flowers","Address195 Pearl's Hill Terrace #01-10, Singapore 168976 Singapore",Neighborhood: Central Area/City Area,1-2 hours,1:00 PM - 7:00 PM
CulinaryOn,Cooking Classes,NA,4.5,,"Address11 Unity Street Robertson Walk #01-23/24 Robertson Walk, Singapore 237995 Singapore",Neighborhood: Robertson Quay,2-3 hours,8:00 AM - 11:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Healing Touch Spa,Spas,NA,4.5,"deep tissue massage,great massage,massage session,tanglin shopping centre,stiff neck,city gate,thai fusion massage,problem areas,dhoby ghaut,ginger tea,alexandra,branch,tampines,masseuse,knots,tension,orchard,strokes,acupressure,mld,kneading,trial,orthopedic,slimming,therapy,stuffiness,5hr,canning,massaged,fort","Address9 Bras Basah Road Hotel Rendezvous Gallery, Singapore 189559 Singapore",Neighborhood: Central Area/City Area,1-2 hours,11:00 AM - 10:30 PM
CÉ LA VI Singapore,Bars & Clubs • Dance Clubs & Discos,NA,4.5,"ladies night,lounge,skypark,bay","Address1 Bayfront Avenue Marina Bay Sands Level 57, SkyPark at Marina Bay Sands, Tower 3, Singapore 018971 Singapore",Neighborhood: Marina Bay,NA,4:00 PM - 10:30 PM
Yixing Xuan Teahouse,Speciality & Gift Shops,NA,5.0,"dim sum,chinese tea,quality steak,session,knowledge","Address78 Tanjong Pagar Road, Singapore 088499 Singapore",Neighborhood: Outram,1-2 hours,10:00 AM - 8:00 PM
The Escape Hunt Experience Singapore,Escape Games,NA,4.5,fun,"Address100 Orchard Road Concorde Hotel And Shopping Mall Floor 02 Unit 43 44 45 Concorde Hotel & Shopping Mall, Singapore 238840 Singapore",Neighborhood: Somerset,NA,NA
Wellaholic (Tanjong Pagar),Spas,NA,5.0,"hair removal,fuss free,explained everything,nice environment,session,therapist,underarm,ipl,laser,branch","Address210A Telok Ayer Street 3 Minutes By Foot From Tanjong Pagar MRT Station, Singapore 068643 Singapore",Neighborhood: Central Area/City Area,1-2 hours,11:00 AM - 10:00 PM
The Polliwogs,Game & Entertainment Centers,NA,4.5,"indoor playground,vivo city,fun place for the kids,ball pit,fun experience,clean environment,lots of fun,kids and adults,suntec,motor,playtime,bonding,maze,branch,skills,session","Address1 Harbourfront Walk Vivo City #03-12 VivoCity, Singapore 098585 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Kee Hing Hung Pte. Ltd.,Speciality & Gift Shops,NA,5.0,"black bay,product knowledge,shopping experience,rose gold,an unforgettable experience,chit chat,chinatown area,watches,tudor,rolex,gmt,model,purchase,timepieces,alvin,collection,explorer,chia,loke,28mm,interests","Address#02-21/22 1 Park Road People's Park Complex, Singapore 059108 Singapore",Neighborhood: Outram,1-2 hours,12:00 PM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Kinetic Rain,Theatre & Performances,NA,4.5,,"AddressChangi Airport Terminal 1 Airport Blvd, Singapore 819643 Singapore",Neighborhood: Changi,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Spectra - A Light And Water Show,Theatre & Performances,NA,4.5,bay,NA,Neighborhood: Marina Bay,< 1 hour,"8:00 PM - 8:15 PM, 9:00 PM - 9:15 PM"
Rachel P Jewels,Speciality & Gift Shops • Department Stores,NA,5.0,"engagement ring,final product,dream ring,excellent workmanship,rose gold,entire process,gemstones,craftsmen,earrings,jewellers,artwork,shop,tourmaline,diamonds,timeline,purchase,knowledge,gifts","Address304 Orchard Road Lucky Plaza Lucky Plaza unit 03-51, Singapore 238863 Singapore",Neighborhood: Boulevard,1-2 hours,12:00 PM - 7:30 PM
